,trial_index,RT,congruency,stimPosit,respPosit,correction,hand,block1,block2,block3,error_outlier,nblock,postError,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr,conflict
769,770,334.8,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.2620606873639103,0.6386141552801592,0.3613858447198408,0.2620606873639103,0.7379393126360897,0.0,0.0,0.7379393126360897,-0.7379393126360897,0.9313241961383548
770,771,382.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.6386141552801592,0.6386141552801592,0.3613858447198408,0.6073824153933141,0.39261758460668594,0.3613858447198408,-0.3613858447198408,0.0,0.0,0.5921719606758087
771,772,281.6,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.6073824153933141,0.8077261435522393,0.19227385644776077,0.6073824153933141,0.39261758460668594,0.0,0.0,0.39261758460668594,-0.39261758460668594,0.6310866014709837
772,773,325.1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.7911094244434087,0.8077261435522393,0.19227385644776077,0.7911094244434087,0.20889057555659135,0.0,0.0,0.2088905755565913,-0.20889057555659135,0.37414587855681863
773,774,376.9,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.888860626046394,0.8077261435522393,0.19227385644776077,0.888860626046394,0.11113937395360597,0.0,0.0,0.11113937395360596,-0.11113937395360597,0.20992678746441246
774,775,428.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.19227385644776077,0.8077261435522393,0.19227385644776077,0.9408687519296286,0.05913124807037143,-0.8077261435522393,0.8077261435522393,0.0,0.0,0.963030764126706
775,776,303.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.05913124807037143,0.4297473817627371,0.5702526182372629,0.9408687519296286,0.05913124807037143,0.0,0.0,-0.9408687519296286,0.9408687519296286,0.9965034955016402
776,777,374.8,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.49941463953867693,0.4297473817627371,0.5702526182372629,0.5005853604613231,0.49941463953867693,0.0,0.0,-0.5005853604613231,0.5005853604613231,0.7505850178144534
777,778,330.3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.733665612133184,0.4297473817627371,0.5702526182372629,0.26633438786681596,0.733665612133184,0.0,0.0,-0.26633438786681596,0.26633438786681596,0.46173476957324033
778,779,313.8,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.14170211868565455,0.4297473817627371,0.5702526182372629,0.14170211868565455,0.8582978813143455,0.0,0.0,0.8582978813143455,-0.8582978813143455,0.9799205095599968
779,780,301.2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.5433461325825104,0.4297473817627371,0.5702526182372629,0.5433461325825104,0.4566538674174896,0.0,0.0,0.4566538674174896,-0.4566538674174896,0.704774980207629
780,781,344.6,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.7570391828207526,0.4297473817627371,0.5702526182372629,0.7570391828207526,0.2429608171792475,0.0,0.0,0.24296081717924745,-0.2429608171792475,0.4268916756740872
781,782,336.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.4297473817627371,0.4297473817627371,0.5702526182372629,0.8707336937312296,0.1292663062687705,0.5702526182372629,-0.5702526182372629,0.0,0.0,0.8153171878680723
782,783,371.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.1292663062687705,0.6965994333759484,0.30340056662405157,0.8707336937312296,0.1292663062687705,0.0,0.0,-0.8707336937312296,0.8707336937312296,0.9832902220636285
783,784,299.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.30340056662405157,0.6965994333759484,0.30340056662405157,0.46327029040801626,0.5367297095919839,-0.6965994333759484,0.6965994333759484,0.0,0.0,0.9079480961722044
784,785,318.4,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.46327029040801626,0.3706228714031453,0.6293771285968547,0.46327029040801626,0.5367297095919839,0.0,0.0,0.5367297095919837,-0.5367297095919839,0.7853806380252724
785,786,409.8,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.714435159425403,0.3706228714031453,0.6293771285968547,0.714435159425403,0.2855648405745971,0.0,0.0,0.28556484057459697,-0.2855648405745971,0.48958240297679895
786,787,365.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.6293771285968547,0.3706228714031453,0.6293771285968547,0.8480663978254783,0.1519336021745217,-0.3706228714031453,0.3706228714031453,0.0,0.0,0.6038844299991782
787,788,340.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.8028116213913431,0.1971883786086569,0.8028116213913431,0.8480663978254783,0.1519336021745217,-0.1971883786086569,0.1971883786086569,0.0,0.0,0.35549350055900275
788,789,352.1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.895086731935613,0.10491326806438701,0.895086731935613,0.8480663978254783,0.1519336021745217,-0.10491326806438701,0.10491326806438706,0.0,0.0,0.19881974231282418
789,790,323.6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.1519336021745217,0.05581867396858199,0.944181326031418,0.8480663978254783,0.1519336021745217,0.0,0.0,-0.8480663978254783,0.8480663978254783,0.9769161805302742
790,791,383.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.5487897514080102,0.05581867396858199,0.944181326031418,0.45121024859198977,0.5487897514080102,0.0,0.0,-0.45121024859198977,0.45121024859198977,0.6988298087495344
791,792,386.4,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.7599354378896855,0.05581867396858199,0.944181326031418,0.2400645621103145,0.7599354378896855,0.0,0.0,-0.2400645621103145,0.24006456211031446,0.42249813023941185
792,793,429.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.944181326031418,0.05581867396858199,0.944181326031418,0.12772536563842612,0.8722746343615739,-0.05581867396858199,0.05581867396858198,0.0,0.0,0.1085216235735531
793,794,353.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.8722746343615739,0.029698096542933743,0.9703019034570662,0.12772536563842612,0.8722746343615739,0.0,0.0,-0.12772536563842612,0.12772536563842607,0.2391369622493825
794,795,364.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.029698096542933743,0.029698096542933743,0.9703019034570662,0.06795575691831242,0.9320442430816877,0.9703019034570662,-0.9703019034570662,0.0,0.0,0.9991180230617265
795,796,343.9,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.06795575691831242,0.48375485198950224,0.5162451480104977,0.06795575691831242,0.9320442430816877,0.0,0.0,0.9320442430816875,-0.9320442430816877,0.9953820151016592
796,797,407.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.5162451480104977,0.48375485198950224,0.5162451480104977,0.5041096832772228,0.4958903167227772,-0.48375485198950224,0.4837548519895023,0.0,0.0,0.7334909471556194
797,798,338.7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.2573797848652446,0.2573797848652446,0.7426202151347554,0.5041096832772228,0.4958903167227772,0.7426202151347554,-0.7426202151347554,0.0,0.0,0.9337556463427205
798,799,374.2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.604891960417768,0.604891960417768,0.3951080395822319,0.5041096832772228,0.4958903167227772,0.39510803958223195,-0.3951080395822319,0.0,0.0,0.6341057162219493
799,800,357.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.21021561191165103,0.7897843880883489,0.21021561191165103,0.5041096832772228,0.4958903167227772,-0.7897843880883489,0.7897843880883489,0.0,0.0,0.9558093965086101
800,801,577.1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0,3.0,0,0.5797984556431502,0.4202015443568497,0.5797984556431502,0.5041096832772228,0.4958903167227772,-0.4202015443568497,0.42020154435684975,0.0,0.0,0.6638337508338179
801,802,320.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3.0,0,0.5041096832772228,0.2235665082051858,0.7764334917948141,0.5041096832772228,0.4958903167227772,0.0,0.0,0.49589031672277717,-0.4958903167227772,0.7458734272261381
