α_v,α_s,decay,MSE
0.7,0.51,0.42,1.1052302151023883e7
0.76,0.34,0.6,1.1141183216752242e7
0.67,0.17,0.79,1.1175356937165577e7
0.81,0.12,0.8,1.1218787686681934e7
0.19,0.39,0.68,1.1219923798958654e7
0.62,0.73,0.27,1.1115464129279623e7
0.95,0.93,0.16,1.1062182999557668e7
0.96,0.87,0.72,1.114853556956677e7
0.92,0.83,0.1,1.1063322784703583e7
0.47,0.69,0.27,1.1172676657700878e7
0.13,0.25,0.73,1.1203335340442281e7
0.65,0.35,0.42,1.1077646845856406e7
0.7,0.47,0.55,1.1075871306073116e7
0.71,0.02,0.67,1.1231766322084576e7
0.55,0.3,0.71,1.1083469608630922e7
0.79,0.07,0.52,1.122594853377261e7
0.92,0.34,0.65,1.1196926959648024e7
0.45,0.68,0.48,1.1189594223459352e7
0.93,0.23,0.06,1.111717567744811e7
0.04,0.47,0.98,1.127911477360252e7
0.81,0.32,0.37,1.1143271803130765e7
0.56,0.66,0.65,1.1127170070653753e7
0.15,0.57,0.78,1.1273849075930689e7
0.92,0.72,0.91,1.115968044111628e7
0.72,0.8,0.79,1.1138183920417514e7
0.87,0.54,0.33,1.1109271177318132e7
1.0,0.71,0.97,1.1213297317637334e7
0.04,0.89,0.33,1.126990426180917e7
0.21,0.23,0.17,1.103313970018279e7
0.14,0.2,0.15,1.1094452822718378e7
0.21,0.36,0.34,1.1166757042000722e7
0.42,0.56,0.85,1.1159081224893779e7
0.28,0.69,0.66,1.1261249136255234e7
0.89,0.57,0.65,1.1151562279090364e7
0.16,0.08,0.95,1.1091298130367778e7
0.47,0.64,0.9,1.1175287946300333e7
0.26,0.33,0.7,1.1125259982847732e7
0.21,0.69,0.69,1.127374112059013e7
0.82,0.3,0.48,1.1163768668228097e7
0.36,0.51,0.16,1.1123797460406337e7
0.75,0.26,0.1,1.1088661543437935e7
0.44,0.44,0.06,1.1027934895917438e7
0.11,0.18,0.12,1.1125328262542043e7
0.32,0.46,0.43,1.1143380662216935e7
0.39,0.53,0.54,1.1144621736403555e7
0.17,0.05,0.72,1.1119462427122029e7
0.49,0.53,0.76,1.1099473298044506e7
0.74,0.87,0.78,1.1182159651401095e7
0.71,0.87,0.12,1.1177486792122053e7
0.27,0.94,0.72,1.1279143715744961e7
0.19,0.17,0.21,1.1004641144288708e7
0.27,0.8,0.36,1.1271837690520793e7
0.85,0.04,0.26,1.1238504333773732e7
0.51,0.11,0.82,1.1162774206639163e7
0.56,0.21,0.92,1.1131548923687804e7
0.21,0.83,0.83,1.1279082978545731e7
0.94,0.81,0.34,1.1100235924235297e7
0.28,0.91,0.02,1.1273944870121732e7
0.93,0.76,0.08,1.1081338466016432e7
0.11,0.17,0.83,1.1169419005424878e7
0.26,0.85,0.69,1.127789345294696e7
0.32,0.3,0.03,1.1008973264154226e7
0.22,0.01,0.86,1.1180954701406535e7
0.95,0.65,0.69,1.1176354705758788e7
0.67,0.16,0.22,1.1149005483395524e7
0.39,0.25,0.36,1.1021478832619552e7
0.45,0.17,0.39,1.1092428122117195e7
0.82,0.42,0.97,1.116242604267171e7
0.91,0.24,0.44,1.1198546059164748e7
0.39,0.33,0.74,1.1058234691253874e7
0.33,0.91,0.07,1.127076579977121e7
0.51,0.22,0.52,1.1092175679483462e7
0.83,0.65,0.46,1.108194403885793e7
0.79,0.69,0.89,1.1095798499525841e7
0.44,0.54,0.62,1.1123697418842603e7
0.44,0.02,0.98,1.1197141520698503e7
0.14,0.74,0.84,1.127911153965535e7
0.74,0.56,0.46,1.1061742117570817e7
0.86,0.55,0.13,1.106873818702018e7
0.51,0.65,0.93,1.1160709918418061e7
0.39,0.6,0.49,1.1181205025685463e7
0.4,0.47,0.97,1.1128574428716555e7
0.06,0.65,0.97,1.1277507328508852e7
0.51,0.49,0.57,1.1060406003408335e7
0.43,0.77,0.61,1.1239310625704698e7
0.72,0.61,0.16,1.1021151601354029e7
0.92,0.87,0.96,1.1121594066690996e7
0.25,0.39,0.87,1.1181607039374825e7
0.56,0.3,0.15,1.1022818401234161e7
0.03,0.56,0.57,1.1278116929742571e7
0.47,0.78,0.97,1.1237052045373695e7
0.68,0.31,0.57,1.1118526147297367e7
0.61,0.56,0.22,1.1023515254972786e7
0.17,0.39,0.26,1.1214635191092588e7
0.55,0.37,0.29,1.1019469566649638e7
0.29,0.59,0.13,1.1212401604557393e7
0.33,0.7,0.41,1.1243841397608094e7
0.92,0.46,0.77,1.1187144554370672e7
0.7,0.58,0.03,1.1069289148205439e7
0.51,0.51,0.21,1.1034260047164239e7
0.75,0.33,0.12,1.107105588394083e7
0.41,0.64,0.54,1.1193058860792832e7
0.56,0.48,0.86,1.1071312441949442e7
0.03,0.82,0.42,1.1271011922012832e7
0.5,0.45,0.79,1.1068532723064668e7
