P_diff,congruency,hand,postError,block1,block2,block3,p_DIFF,CONGRUENCY,HAND,POSTeRROR,BLOCK1,BLOCK2,BLOCK3,rSquared,LLH,AIC,BIC,MSE,model,alpha,decay,alpha_error,subject
-67.34135443307235,1.5828628438545405,-3.697895088561478,-2.7179014196574727,438.14945691060035,474.901244958185,441.0842142592412,3.728121178500721e-06,0.8457620266093153,0.5898273856737768,0.8486121429472058,5.303095852460749e-277,0.0,2.2041851630301708e-277,0.038041899079684915,-7249.178686540083,14504.357373080164,14519.559332626126,13659.477681242683,SR_Q_D_E_WOB,0.2242850251716484,0.6456244646074487,0.19462987056389025,sub18
-92.387996594174,2.5675046678359337,40.578578283322095,-21.084285607010084,392.1289342834633,386.09055871088117,400.75078125294937,3.2478601512463066e-07,0.7290290058297502,3.63914258963065e-11,0.03869498607560337,2.4723267098663666e-275,0.0,2.5264122381810325e-273,0.06585587503154966,-6898.344804153274,13802.689608306548,13817.808589356135,10444.966207231146,SR_Q_D_E_WOB,0.12969935697230167,0.4070860509014615,0.19215069399208626,sub19
-59.243631932673075,4.8349271506493485,6.85198176512196,34.3393402707811,413.2755981715511,427.1609035388767,438.35725180829115,7.519120147613811e-34,0.3936002180805438,0.15357377684856333,0.0043867499342346026,0.0,0.0,0.0,0.1368510764412214,-7160.701184293162,14327.402368586329,14342.73445695526,6995.788769478494,SR_Q_D_E_WOB,0.7002091155463612,0.7217682668072081,0.35954244824518844,sub20
-56.31684767104742,10.81212662825476,-2.1525953236203588,28.349788923899823,428.0132493775184,441.23018218597764,422.11926729710814,3.1424875049236067e-27,0.046908295237540615,0.645870510798203,0.1892983726237729,0.0,0.0,0.0,0.0937414299586602,-7321.7653475081515,14649.530695016303,14664.935367571003,6838.166244984905,SR_Q_D_E_WOB,0.5687353686887668,0.7339850535696385,1.0,sub41
-20.5634712483222,2.5568253937621748,18.974475724910825,39.80855719703767,405.3499286745224,458.25414518949725,451.3347278441727,0.0016961828536083258,0.7201721194847199,0.0013102061881011158,0.00345104546079035,2.809239688890365e-302,0.0,0.0,0.07263197964692247,-7181.448842018293,14368.897684036587,14384.142809794905,10216.760663016015,SR_Q_D_E_WOB,0.21865829745716892,0.03701419437579395,0.43088374416892256,sub42
-22.863541721843983,7.6549833433484125,-1.4950463599982875,8.366083356274242,439.63082122076815,415.66388019084053,420.5561987142978,2.335437021365992e-06,0.32442450194058203,0.8206640742187841,0.4737024532481272,2.0343796522507137e-292,0.0,1.0008281797551465e-273,0.030368544307606268,-7038.618498109295,14083.23699621859,14098.374325949226,12388.50738739348,SR_Q_D_E_WOB,1.0,1.0,0.0001,sub43
-48.20337468484722,3.863663541433908,20.09288936712843,66.66073144813498,428.43025544857636,460.0048848465496,451.0458202925295,6.423562181403501e-14,0.5278647228774387,0.0001005141462860608,0.00024399765462797626,0.0,0.0,0.0,0.08541455278613308,-7433.078250797454,14872.156501594907,14887.558782758486,8242.9384662268,SR_Q_D_E_WOB,0.4471979971949751,0.4132394100234235,0.8054407213171959,sub44
-35.03509253277565,-3.3023034483774456,11.687800335341766,42.47677329628833,394.02866158061545,398.31025668469664,404.4416664697537,3.221263302817035e-26,0.4169654066026936,0.0007885744579513615,2.074810827475396e-05,0.0,0.0,0.0,0.11507178501165027,-6805.563820006618,13617.127640013236,13632.476822445515,3677.969629860008,SR_Q_D_E_WOB,0.723561617335114,0.9128924757659024,0.5341545257441925,sub45
-46.203123842241204,-11.622521665777226,7.217886972433139,29.49685540950423,494.8710199476944,513.9272187764348,500.5127660926658,3.1444217272309275e-07,0.10341834125297593,0.23460519892288,0.17409607339431096,0.0,0.0,0.0,0.037209507419697314,-7606.323400800515,15218.646801601033,15234.037097131408,11407.02033764524,SR_Q_D_E_WOB,0.3907271177565269,0.5897933669861867,0.0001,sub46
-42.40642199204881,0.4706860877768726,5.876372560154926,-14.479195023941696,425.0615639907152,393.4069052848207,390.0890747267583,4.513702637091071e-26,0.9161649646383144,0.12492261398365355,0.20393259984906875,0.0,0.0,0.0,0.13307507537748242,-6957.1423657749865,13920.284731549973,13935.646064667151,4494.160632874421,SR_Q_D_E_WOB,0.6840896849899661,1.0,0.6077669707847041,sub47
-80.75473596969096,-3.161465683048134,16.99632816123328,36.912502355031975,417.42562420501235,419.0671553459217,461.1124976804407,2.1878687687232482e-20,0.6279929853968905,0.002135669322094709,0.06633208515923544,0.0,0.0,0.0,0.11165591683480104,-7457.184188086992,14920.368376173985,14935.74663799388,9425.414938238337,SR_Q_D_E_WOB,0.40584942873352,0.9389978486409128,0.1774958989181128,sub48
-22.142313045146505,15.00527538701577,-15.828680155406538,-0.762335595411713,456.219670362474,441.9188311609216,435.7447170329537,6.678442545071404e-05,7.373566757232936e-05,2.9139164069326508e-05,0.9748055825027488,0.0,0.0,0.0,0.05364690919123605,-7111.859530297321,14229.719060594642,14245.147542798126,4474.588279108449,SR_Q_D_E_WOB,0.3058392525016035,0.1167346738596736,0.8783955746340931,sub05
-25.203440584088387,-0.1592090311869221,11.832782106167937,12.500680796999994,366.54335779599614,366.9113549366716,371.6435481603531,2.3077417324011794e-22,0.9593220095635416,0.00015636581870859343,0.3869435290052503,0.0,0.0,0.0,0.08440151388786532,-6848.045119501266,13702.090239002531,13717.509220010425,3051.5829899586433,SR_Q_D_E_WOB,0.8506009591871625,0.9480842299306944,1.0,sub06
-77.03167542919022,11.610483053594484,56.91542361054568,24.842176680206016,403.15905317400484,443.3154550317547,457.9380105676609,0.0004148766047178229,0.0669989579110193,1.3356476707194816e-18,0.14451284204905782,0.0,0.0,0.0,0.1062839175798438,-7507.084428525248,15020.168857050496,15035.503393399982,12192.669513271174,SR_Q_D_E_WOB,0.08272392926642558,0.094587870540452,0.2331067597900529,sub07
-21.692649573213455,30.129619704693862,5.667515631206032,37.18861428111886,361.62621872361353,364.2179757394904,371.81805195252963,0.0002543565141471849,4.3876826889100685e-06,0.38550732995017456,0.009596502433131685,2.5085382847350884e-277,2.594634832619135e-288,2.9586564010265145e-303,0.034989920668401016,-7074.0342933989095,14154.068586797819,14169.224153666686,12228.602640640578,SR_Q_D_E_WOB,0.7203032175908661,0.8741626953370377,1.0,sub08
-28.168535184980893,9.871647903018086,10.120770768362632,34.28596741381511,401.95905289664915,385.43236487847054,390.997770438188,2.9110603305716007e-21,0.003939321746995187,0.003134816678928224,0.0026153182701900827,0.0,0.0,0.0,0.09676587715732243,-6896.685947744679,13799.371895489356,13814.764591980249,3629.3921083908185,SR_Q_D_E_WOB,0.7557158317277394,0.4945274244065159,0.3096306868237517,sub21
-22.565135706022964,-0.7577171784986714,-14.674772580966403,19.83472150909202,422.6917314141315,424.8243588513697,437.3106433460018,6.976834151682597e-12,0.8625766389199764,0.0008201425933637928,0.2570609405351069,0.0,0.0,0.0,0.05032003128502471,-7223.9906308759155,14453.981261751831,14469.381149616518,5960.0505160253915,SR_Q_D_E_WOB,0.8598935198270152,0.4269701347866972,0.8118980621397749,sub22
-25.779501674004226,0.2797249587884921,13.375176618934647,15.444904399757807,338.3176354994415,325.5894913552217,316.57034072149787,7.776021564757017e-29,0.9207212098746538,2.179117042372645e-06,0.04200917887081175,0.0,0.0,0.0,0.13849170216235285,-6552.764223534915,13111.52844706983,13126.880063579323,2418.976452711841,SR_Q_D_E_WOB,0.8818272916337027,0.6928117029827592,0.0001,sub23
