,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
121,green,0,1,1,576.9,1,1,1,122,0,0,1,0,0,0,0,0,0.498549014027777,0.5014509859722227,0.498549014027777,0.4986614654859297,0.5013385345140705,-0.5014509859722227,0.5014509859722229,0.0,0.0
122,green,0,1,1,565.9,1,1,1,123,0,0,1,0,0,0,0,0,0.4986616838412705,0.5013383161587293,0.4986616838412705,0.4986614654859297,0.5013385345140705,-0.5013383161587293,0.5013383161587295,0.0,0.0
123,green,0,1,1,516.8,1,1,1,124,0,0,1,0,0,0,0,0,0.49877432833925517,0.5012256716607446,0.49877432833925517,0.4986614654859297,0.5013385345140705,-0.5012256716607446,0.5012256716607448,0.0,0.0
124,green,0,1,1,417.8,1,1,1,125,0,0,1,0,0,0,0,0,0.498886947527419,0.5011130524725808,0.498886947527419,0.4986614654859297,0.5013385345140705,-0.5011130524725808,0.501113052472581,0.0,0.0
125,red,1,1,0,616.6,1,1,0,126,0,0,1,0,0,0,0,0,0.4986614654859297,0.5010004585885508,0.4989995414114489,0.4986614654859297,0.5013385345140705,0.0,0.0,0.5013385345140703,-0.5013385345140705
126,red,1,1,0,455.8,1,1,0,127,0,0,1,0,0,0,0,0,0.4987741100329761,0.5010004585885508,0.4989995414114489,0.4987741100329761,0.5012258899670241,0.0,0.0,0.5012258899670239,-0.5012258899670241
127,green,1,1,1,460.4,0,1,1,128,0,0,1,0,0,0,0,0,0.5011132707298095,0.5010004585885508,0.4989995414114489,0.4988867292701907,0.5011132707298095,0.0,0.0,-0.4988867292701907,0.4988867292701905
128,red,1,1,0,483.6,1,1,0,129,0,0,1,0,0,0,0,0,0.49877463561335544,0.5010004585885508,0.4989995414114489,0.49877463561335544,0.5012253643866447,0.0,0.0,0.5012253643866446,-0.5012253643866447
129,green,0,1,1,488.4,1,1,1,130,0,0,1,0,0,0,0,0,0.4989995414114489,0.5010004585885508,0.4989995414114489,0.49888725473247864,0.5011127452675215,-0.5010004585885508,0.501000458588551,0.0,0.0
130,green,0,1,1,461.6,1,1,1,131,0,0,1,0,0,0,0,0,0.4991121099970304,0.5008878900029693,0.4991121099970304,0.49888725473247864,0.5011127452675215,-0.5008878900029693,0.5008878900029696,0.0,0.0
131,red,1,1,0,564.6,1,1,0,132,0,0,1,0,0,0,0,0,0.49888725473247864,0.500775346710152,0.49922465328984766,0.49888725473247864,0.5011127452675215,0.0,0.0,0.5011127452675214,-0.5011127452675215
132,red,1,1,0,449.3,1,1,0,133,0,0,1,0,0,0,0,0,0.49899984854748336,0.500775346710152,0.49922465328984766,0.49899984854748336,0.5010001514525168,0.0,0.0,0.5010001514525166,-0.5010001514525168
133,green,0,1,1,390.5,1,1,1,134,0,0,1,0,0,0,0,0,0.49922465328984766,0.500775346710152,0.49922465328984766,0.4991124170640552,0.5008875829359449,-0.500775346710152,0.5007753467101523,0.0,0.0
134,green,0,1,1,435.6,1,1,1,135,0,0,1,0,0,0,0,0,0.4993371712955837,0.5006628287044159,0.4993371712955837,0.4991124170640552,0.5008875829359449,-0.5006628287044159,0.5006628287044164,0.0,0.0
135,red,1,1,0,400.4,1,1,0,136,0,0,1,0,0,0,0,0,0.4991124170640552,0.5005503359800794,0.4994496640199202,0.4991124170640552,0.5008875829359449,0.0,0.0,0.5008875829359448,-0.5008875829359449
136,green,0,1,1,413.6,1,1,1,137,0,0,1,0,0,0,0,0,0.4994496640199202,0.5005503359800794,0.4994496640199202,0.4992249602878783,0.5007750397121218,-0.5005503359800794,0.5005503359800798,0.0,0.0
137,green,0,1,1,410.4,1,1,1,138,0,0,1,0,0,0,0,0,0.4995621314685376,0.500437868531462,0.4995621314685376,0.4992249602878783,0.5007750397121218,-0.500437868531462,0.5004378685314623,0.0,0.0
138,red,1,1,0,419.4,1,1,0,139,0,0,1,0,0,0,0,0,0.4992249602878783,0.5003254263528846,0.49967457364711504,0.4992249602878783,0.5007750397121218,0.0,0.0,0.5007750397121217,-0.5007750397121218
139,red,1,1,0,448.6,1,1,0,140,0,0,1,0,0,0,0,0,0.49933747822463576,0.5003254263528846,0.49967457364711504,0.49933747822463576,0.5006625217753644,0.0,0.0,0.5006625217753642,-0.5006625217753644
140,red,1,1,0,399.6,1,1,0,141,0,0,1,0,0,0,0,0,0.49944997088000914,0.5003254263528846,0.49967457364711504,0.49944997088000914,0.500550029119991,0.0,0.0,0.5005500291199909,-0.500550029119991
