α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.99,0.68,0.56,0.51,0.56,0.71,0.73,0.61,9.499945922034003e6
0.36,0.6,0.54,0.02,0.88,0.9,0.1,0.34,9.544592858606696e6
0.68,0.65,0.65,0.84,0.65,0.15,0.04,0.34,9.565371971989248e6
0.35,0.83,0.71,0.85,0.01,0.64,0.36,0.35,9.743780501654085e6
0.87,0.74,0.77,0.13,0.71,0.95,0.43,0.27,9.527399852777623e6
0.83,0.88,0.23,0.4,0.93,0.88,0.59,0.05,9.55798574256919e6
0.37,0.48,0.68,0.75,0.66,0.17,0.32,0.06,9.568040423855213e6
0.18,0.22,0.99,0.93,0.55,0.61,0.22,0.37,9.593839543302484e6
0.25,0.46,0.5,0.37,0.93,0.36,0.94,0.16,9.43286040788887e6
0.4,0.22,0.11,0.71,0.89,0.07,0.11,0.16,9.658666049575744e6
1.0,0.99,0.17,0.01,0.35,0.58,0.28,0.76,9.389825229265576e6
0.75,0.01,0.25,0.49,0.07,0.17,0.56,0.5,9.63837445508562e6
0.88,0.44,0.75,0.74,0.48,0.07,0.09,0.39,9.596865770033427e6
0.26,0.87,0.17,0.58,0.46,0.62,0.48,0.71,9.421680917574141e6
0.51,0.09,0.6,0.65,0.44,0.29,0.92,0.85,9.566376883770406e6
0.94,0.16,0.07,0.43,0.16,0.23,0.05,0.35,9.315482494035177e6
0.08,0.3,0.34,0.54,0.69,0.26,0.83,0.19,9.412301642613025e6
0.29,0.67,0.38,0.07,0.88,0.93,0.14,0.8,9.54709681500148e6
0.95,0.03,0.11,0.35,0.26,0.83,0.17,0.13,9.394122623494964e6
0.74,0.95,0.63,0.92,0.58,0.62,0.47,0.33,9.51423209708028e6
0.66,0.24,0.6,0.82,0.4,0.25,0.27,0.03,9.478783282129344e6
0.96,0.3,0.2,0.45,0.37,0.5,0.32,0.82,9.415808857793847e6
0.32,0.44,0.34,0.61,0.28,0.21,0.93,0.84,9.406956542468913e6
0.57,0.91,0.15,0.47,0.96,0.63,0.54,0.32,9.572747116372062e6
0.66,0.26,0.1,0.81,1.0,0.88,0.54,0.63,9.598100009934835e6
0.22,0.25,0.53,0.94,0.38,0.97,0.28,0.44,9.539204251840297e6
0.4,0.06,0.96,0.38,0.19,0.31,0.49,0.35,9.61005164926311e6
0.77,0.6,0.96,0.23,0.79,0.69,0.77,0.5,9.55904335442815e6
0.79,0.12,0.27,0.66,0.27,1.0,0.73,0.51,9.446416690088864e6
0.87,0.32,0.9,0.41,0.64,0.91,0.12,0.48,9.53657841701546e6
0.1,0.61,0.75,0.73,0.38,0.91,0.77,0.6,9.613514517135983e6
0.45,0.11,0.16,0.26,0.83,0.34,0.66,0.7,9.577073007416744e6
0.3,0.59,0.6,0.77,0.78,0.32,0.93,0.31,9.50237765544907e6
0.26,0.2,0.61,0.96,0.99,0.8,0.1,0.69,9.623870385395383e6
0.41,0.33,0.35,0.73,0.01,0.35,0.35,0.46,9.474316885710102e6
0.56,0.28,0.17,0.95,0.53,0.43,0.71,0.64,9.474024902927998e6
0.86,0.51,0.91,0.38,0.2,0.3,0.93,0.65,9.468067735410577e6
0.06,0.74,0.11,0.21,0.61,0.2,0.65,0.85,9.52879503753065e6
0.61,0.4,0.22,0.69,0.76,0.44,0.77,0.57,9.506361898824723e6
0.1,0.67,0.32,0.02,0.11,0.72,0.42,0.07,9.396528199935827e6
0.11,0.18,0.81,0.02,0.31,0.58,0.9,0.19,9.63616053118902e6
0.11,0.21,0.98,0.06,0.18,0.46,0.36,0.82,9.6273543829291e6
0.44,0.31,0.78,0.85,0.87,0.45,0.39,0.72,9.606668406962559e6
0.65,0.97,0.84,0.43,0.8,0.56,0.17,0.49,9.56294554799184e6
0.73,0.29,0.27,0.12,0.19,0.65,0.48,0.24,9.390440941998366e6
0.73,0.65,0.6,0.81,0.11,0.56,0.52,0.99,9.488014963878801e6
0.33,0.57,0.91,0.06,0.28,0.25,0.85,1.0,9.515043701134223e6
0.9,0.71,0.32,0.5,0.5,0.98,0.09,0.04,9.483397863563761e6
0.77,0.75,0.21,0.3,0.95,0.64,0.21,0.99,9.564666637269203e6
0.77,0.38,0.1,0.43,0.35,0.81,0.51,0.22,9.408284492159853e6
0.82,0.8,0.02,0.4,0.36,0.18,0.75,0.02,9.407924265155504e6
0.83,0.22,0.69,0.74,0.23,0.95,0.89,0.05,9.525493927496443e6
0.37,0.64,0.48,0.44,0.88,0.67,0.92,0.74,9.483145580175543e6
0.15,0.29,0.26,0.03,0.08,0.86,0.08,0.39,9.407174434087737e6
