α_v,α_s,decay,MSE
0.41,0.7,0.12,4.263473005651778e6
0.32,0.96,0.69,4.26858310638291e6
0.15,0.3,0.56,4.247726586691988e6
0.76,0.88,0.17,4.271236183460606e6
0.4,0.96,0.58,4.26959848708591e6
0.9,0.62,0.29,4.269029183718039e6
0.37,0.89,0.22,4.267521355156081e6
0.69,0.48,0.02,4.263561905008465e6
0.52,0.8,0.34,4.267096575976716e6
0.28,0.59,0.3,4.258346652885325e6
0.34,0.12,0.64,4.250492941560904e6
0.86,0.01,0.84,4.272074804431915e6
0.36,0.4,0.22,4.256296348689796e6
0.42,0.65,0.64,4.262497463321615e6
0.27,0.23,0.48,4.250471095821926e6
0.4,0.56,0.65,4.260238690485822e6
0.37,0.67,0.57,4.262135221652183e6
0.96,0.03,0.76,4.266484250953791e6
0.76,0.62,0.16,4.266735937655689e6
0.35,0.27,0.53,4.253838929714403e6
0.29,0.9,0.16,4.266555395771655e6
0.99,0.69,0.42,4.271401727026193e6
0.37,0.45,0.16,4.25745373249113e6
0.47,0.35,0.9,4.257868873020545e6
0.27,0.18,0.92,4.249447079222899e6
0.29,0.68,0.6,4.260808368745338e6
0.45,0.02,0.73,4.253790314369677e6
0.12,0.34,0.08,4.248308938741129e6
0.99,0.79,0.09,4.27270884674122e6
0.47,0.36,0.93,4.258013845954712e6
0.91,0.08,0.86,4.264286135635462e6
0.95,0.3,0.44,4.267092739774947e6
0.88,0.2,0.03,4.264935782774327e6
0.67,0.68,0.67,4.266429969222261e6
0.14,0.11,0.12,4.241337953168301e6
0.32,0.49,0.28,4.257071583075283e6
0.38,0.58,0.66,4.260292364419746e6
0.68,0.24,0.08,4.26075373274673e6
0.06,0.71,0.23,4.260737532100644e6
0.18,0.72,0.67,4.25953132865736e6
0.9,0.29,0.93,4.265923223505685e6
0.63,0.68,0.07,4.2659023322071945e6
0.42,0.12,0.3,4.253009784664901e6
0.55,0.11,0.65,4.256000558783662e6
0.93,0.1,0.22,4.265164908903299e6
0.89,0.29,0.4,4.265701064180277e6
0.14,0.95,0.7,4.265623762254093e6
0.03,0.13,0.91,4.2441568611799665e6
0.13,0.39,0.48,4.249763810212804e6
0.66,0.2,0.17,4.259949652011985e6
0.56,0.96,0.58,4.271014013803335e6
0.57,0.76,0.31,4.266773437549037e6
0.76,0.61,0.69,4.266583832151614e6
0.19,0.12,0.05,4.2439930878961235e6
0.54,0.04,0.6,4.253610728060575e6
0.34,0.46,0.06,4.256948154488106e6
0.43,0.83,0.69,4.266800408294915e6
0.82,0.88,0.44,4.271909368254988e6
0.93,0.97,0.86,4.27463405209932e6
0.31,0.76,0.98,4.263257933823854e6
0.86,0.23,0.32,4.264657327820567e6
0.5,0.2,0.93,4.256529444162378e6
0.04,0.42,0.05,4.25364983149598e6
0.23,0.98,0.25,4.267609611456749e6
0.54,0.88,0.03,4.269076964869851e6
0.88,0.32,0.96,4.2656784813992735e6
0.35,0.78,0.02,4.264469484201082e6
0.27,0.3,0.65,4.2517977240011105e6
0.79,0.58,0.18,4.266635781737735e6
0.91,0.29,0.19,4.266145723042635e6
0.84,0.36,0.25,4.265129931037734e6
0.63,0.44,0.44,4.261988105073221e6
0.43,0.44,0.12,4.258515949977296e6
0.53,0.73,0.91,4.265682973424453e6
0.96,0.1,0.24,4.26593471285386e6
0.04,0.57,0.19,4.258557724337135e6
0.71,0.15,0.43,4.260499278584967e6
0.05,0.86,0.1,4.26568379482356e6
0.65,0.74,0.16,4.267297300456009e6
0.02,0.39,0.36,4.259506423253292e6
0.4,0.06,0.88,4.2498608212409355e6
0.4,0.79,0.69,4.265459336637663e6
0.93,0.81,0.88,4.272157278124809e6
0.31,0.04,0.99,4.245367634106182e6
0.6,0.13,0.02,4.257642983455946e6
0.25,0.61,0.06,4.25809556329412e6
0.72,0.86,0.72,4.270423557302065e6
0.26,0.93,0.06,4.266818516982567e6
0.94,0.78,1.0,4.271854086055322e6
0.41,0.89,0.14,4.268014914697966e6
0.39,0.92,0.42,4.268513542704227e6
0.65,0.08,0.59,4.257513695139096e6
0.51,0.13,0.71,4.255566152559375e6
0.5,0.65,0.95,4.263632647624642e6
0.96,0.05,0.42,4.265323261078033e6
0.61,1.0,0.62,4.272251966486488e6
0.18,0.74,0.37,4.260096895756645e6
0.14,0.38,0.2,4.24961386067323e6
0.76,0.78,0.7,4.269406753657048e6
0.62,0.45,0.55,4.2619550960498415e6
0.95,0.23,0.49,4.266733458154969e6
0.7,0.61,0.11,4.265657354527548e6
0.09,0.54,0.32,4.254368967165198e6
0.53,0.85,0.02,4.268313007057176e6
0.72,0.87,0.73,4.270616077664398e6
0.53,0.4,0.51,4.259700429609643e6
0.32,0.43,0.58,4.255843429451452e6
0.69,0.8,0.97,4.268930876074407e6
0.36,0.35,0.59,4.255422271407975e6
0.64,0.21,0.63,4.259622056826368e6
0.45,0.47,0.06,4.259411001778972e6
0.26,0.97,0.47,4.267871091530685e6
0.97,0.1,0.7,4.266190528858274e6
0.31,0.39,0.11,4.25478593300817e6
0.77,0.93,0.96,4.272270267075372e6
0.39,0.32,0.49,4.255684189559218e6
0.28,0.57,0.74,4.257866334783792e6
0.49,1.0,0.09,4.271351819361988e6
0.23,0.75,0.18,4.261341437590834e6
0.89,0.11,0.69,4.264303494465876e6
0.05,0.59,0.53,4.257950978003481e6
0.81,0.27,0.01,4.263798157866649e6
0.81,0.99,0.88,4.273750171371376e6
0.74,0.52,0.86,4.264962610768083e6
0.15,0.34,0.85,4.248748807304513e6
0.11,0.26,0.18,4.245978168296255e6
0.52,0.43,0.63,4.259971445912663e6
0.93,0.14,0.28,4.265682606820249e6
0.59,0.12,0.9,4.257194234993696e6
0.49,0.86,0.44,4.268148808802161e6
0.01,0.45,0.93,4.270707612862626e6
0.85,0.06,0.78,4.262306540157339e6
1.0,0.2,0.28,4.267756998847939e6
1.0,0.5,0.53,4.2695586490528975e6
0.93,0.26,0.24,4.2664270640077805e6
0.31,0.12,0.84,4.249374199047128e6
0.13,0.8,0.5,4.261412566272659e6
0.18,0.91,0.47,4.264894313073304e6
0.83,0.78,0.64,4.270323654478236e6
0.7,0.69,0.03,4.267014076473649e6
0.12,0.81,0.77,4.261746071660906e6
0.68,0.19,0.77,4.26028435045916e6
0.37,0.43,0.21,4.257079954785004e6
0.53,0.5,0.52,4.261259630404543e6
0.46,1.0,0.94,4.271108300847173e6
0.58,0.6,0.72,4.263751156719623e6
0.05,0.94,0.33,4.267699056180209e6
0.34,0.28,0.81,4.25370928372349e6
0.76,0.58,0.71,4.26613964390461e6
0.83,0.71,0.29,4.269195944193213e6
0.13,0.27,0.77,4.246520052101052e6
0.17,0.68,0.24,4.258247181856131e6
0.35,0.91,0.31,4.267750670576505e6
0.8,0.39,0.59,4.2645793759394735e6
0.8,0.92,0.1,4.272398889759709e6
0.41,0.5,0.94,4.259228210135589e6
0.25,0.53,0.71,4.256118823236633e6
0.36,0.38,0.53,4.255940176381277e6
0.71,0.78,0.68,4.268786195403902e6
0.5,0.33,0.98,4.258176323301388e6
0.37,0.5,0.3,4.258428223771729e6
0.93,0.26,0.1,4.2664270640077805e6
0.5,0.29,0.72,4.257656813805781e6
0.94,0.17,0.85,4.266169053667589e6
0.73,0.22,0.77,4.261658164109999e6
0.4,0.53,0.95,4.259627708280303e6
0.91,0.09,0.9,4.26447324315086e6
0.2,0.21,0.01,4.247232970918918e6
0.36,0.42,0.24,4.256661507392545e6
0.4,0.8,0.25,4.265701447075663e6
0.48,0.46,0.08,4.259765310677415e6
0.97,0.98,0.43,4.275216336108164e6
0.58,0.42,0.5,4.260853196437547e6
0.93,0.48,0.26,4.26801702817553e6
0.38,0.16,0.45,4.252854391860377e6
