α_v,α_s,α_v_error,α_s_error,decay,MSE
0.46,0.99,0.84,0.8,0.12,3.1373387919241667e7
0.43,0.94,0.62,0.5,0.75,3.1351012577813778e7
0.55,0.03,0.48,0.42,0.28,3.1565132580168724e7
0.6,0.15,0.17,0.27,0.21,3.1450000530911654e7
0.95,0.76,0.07,0.02,0.87,3.140111620767337e7
0.89,0.22,0.15,0.62,0.01,3.146738779130325e7
0.34,0.16,0.19,0.92,0.09,3.142615939012819e7
0.37,0.1,1.0,0.76,0.79,3.1497214276726477e7
0.65,0.27,0.63,0.66,0.89,3.1437511317494072e7
0.45,0.67,0.82,0.15,0.54,3.135476448049883e7
0.5,0.32,0.33,0.61,0.13,3.1390900649277203e7
0.8,0.57,0.6,1.0,0.82,3.143023969529842e7
0.06,0.04,0.67,0.19,0.6,3.156224435487722e7
0.04,0.56,0.94,0.99,0.03,3.137589773460011e7
0.01,0.85,0.99,0.75,0.09,3.1247178582127575e7
0.61,0.29,0.32,0.57,0.53,3.141321528600042e7
0.91,0.49,0.46,0.77,0.2,3.144354924299625e7
0.49,0.35,0.34,0.5,0.37,3.138158479238267e7
0.42,0.15,0.66,0.8,0.64,3.145323901817804e7
0.67,0.81,0.07,0.05,0.29,3.1351683494956806e7
0.38,0.87,0.23,0.6,0.57,3.1332365747978404e7
0.35,0.17,0.05,0.12,0.01,3.140210090102096e7
0.22,0.97,0.07,0.34,0.19,3.1316571753780197e7
0.42,0.74,0.02,0.46,0.36,3.1323867325799987e7
0.64,0.04,0.11,0.6,0.18,3.1555291280954387e7
0.56,0.14,0.39,0.32,0.61,3.1458666111281928e7
0.06,0.67,0.15,0.02,0.37,3.1310364526299197e7
0.27,0.58,0.74,0.96,0.7,3.136781796131485e7
0.08,0.74,0.27,0.96,0.09,3.134084583294335e7
0.42,0.22,0.94,0.42,0.98,3.1427373990024686e7
0.88,0.48,0.21,0.76,0.48,3.1431616593414664e7
0.42,0.07,0.56,0.04,0.81,3.1513483657611746e7
0.47,0.67,0.94,0.05,0.84,3.1360063144270133e7
0.6,1.0,0.48,0.6,0.32,3.137203923235841e7
0.82,0.7,0.75,0.92,0.71,3.1427916275824845e7
0.82,0.81,0.14,0.85,0.55,3.1400403881382488e7
0.11,0.49,0.11,0.96,0.8,3.1342218558542296e7
0.16,0.83,0.4,0.17,0.07,3.1315827795317277e7
0.27,0.24,0.59,0.29,0.72,3.13920463666477e7
0.86,0.02,0.96,0.63,0.09,3.1564450681591343e7
0.01,0.98,0.03,0.7,0.44,3.137264698735998e7
0.55,0.65,0.57,0.91,0.04,3.1381473571433574e7
0.12,0.84,0.49,0.27,0.54,3.1322106515160933e7
0.17,0.08,0.42,0.09,0.56,3.1495307820789207e7
0.46,0.75,0.52,0.99,0.23,3.136538644898307e7
0.84,0.47,0.64,0.49,0.19,3.143552083301134e7
0.14,0.37,0.37,0.16,0.01,3.134105599654134e7
0.39,0.46,0.8,0.77,0.68,3.1381955995617352e7
0.02,0.99,0.64,0.63,0.92,3.134950891764397e7
0.53,0.68,0.37,0.46,0.54,3.1355446408511467e7
0.48,0.25,0.88,0.96,0.88,3.143473602486466e7
0.36,0.62,0.34,0.52,0.21,3.1337623819487028e7
0.82,0.55,0.15,0.03,0.65,3.139743919899524e7
0.15,0.2,0.54,0.78,0.62,3.141233796336293e7
0.67,0.37,0.16,0.86,0.53,3.141078958831232e7
0.25,0.97,0.27,0.8,0.78,3.1339514205694087e7
0.98,0.53,0.06,0.26,0.29,3.1427127123721417e7
0.46,0.06,0.19,0.73,0.81,3.1522839497844215e7
0.98,0.27,0.02,0.77,0.03,3.146683510058414e7
0.88,0.57,0.48,0.91,0.14,3.143605402808893e7
0.2,0.84,0.41,0.57,0.68,3.1330991715001903e7
0.13,0.4,0.8,0.22,0.33,3.1359374724170696e7
0.43,0.11,0.51,0.75,0.35,3.1475363110183656e7
0.32,0.24,0.62,0.63,0.03,3.1403736067674816e7
0.84,0.59,0.37,0.39,0.09,3.1413027139186457e7
0.22,0.29,0.42,0.22,0.25,3.136585243404063e7
0.91,0.51,0.02,0.36,0.21,3.141875215095497e7
