trial_index, block, condition, full_condition_code, RT, response_type, response_key, error_outlier
441, 4, T_Scon, T_Scon_DRRR, 506.6, hit, 2, 0
442, 4, T_Scon, T_Scon_UGLG, 582.0, hit, 1, 0
443, 4, T_Scon, T_Scon_DRRR, 497.5, hit, 2, 0
444, 4, T_Scon, T_Scon_DRRR, 577.0, hit, 2, 0
445, 4, T_Scon, T_Scon_DRRR, 524.3, incorrect, 1, 1
446, 4, T_Scon, T_Scon_DRRR, 583.7, hit, 2, 0
447, 4, T_Scon, T_Scon_UGLG, 679.2, hit, 1, 0
448, 4, T_Scon, T_Scon_DRRR, 474.7, hit, 2, 0
449, 4, T_Scon, T_Scon_UGLG, 494.1, hit, 1, 0
450, 4, T_Scon, T_Scon_DRRR, 505.6, hit, 2, 0
451, 4, T_Scon, T_Scon_DRRR, 492.9, hit, 2, 0
452, 4, T_Sinc, T_Sinc_DGLG, 656.3, hit, 1, 0
453, 4, T_Scon, T_Scon_DRRR, 619.8, hit, 2, 0
454, 4, T_Sinc, T_Sinc_URRR, 575.2, hit, 2, 0
455, 4, T_Scon, T_Scon_DRRR, 406.7, hit, 2, 0
456, 4, T_Sinc, T_Sinc_DGLG, 498.1, hit, 1, 0
457, 4, T_Sinc, T_Sinc_URRR, 621.6, hit, 2, 0
458, 4, T_Scon, T_Scon_DRRR, 489.0, hit, 2, 0
459, 4, T_Scon, T_Scon_UGLG, 540.5, hit, 1, 0
460, 4, T_Sinc, T_Sinc_DGLG, 567.9, hit, 1, 0
461, 4, T_Scon, T_Scon_DRRR, 619.4, hit, 2, 0
462, 4, T_Scon, T_Scon_DRRR, 438.7, hit, 2, 0
463, 4, T_Sinc, T_Sinc_DGLG, 526.2, hit, 1, 0
464, 4, T_Scon, T_Scon_DRRR, 649.6, hit, 2, 0
465, 4, T_Scon, T_Scon_UGLG, 597.1, hit, 1, 0
466, 4, T_Scon, T_Scon_UGLG, 676.5, hit, 1, 0
467, 4, T_Sinc, T_Sinc_DGLG, 420.0, hit, 1, 0
468, 4, T_Scon, T_Scon_DRRR, 447.4, hit, 2, 0
469, 4, T_Scon, T_Scon_UGLG, 462.6, hit, 1, 0
470, 4, T_Scon, T_Scon_DRRR, 562.0, hit, 2, 0
471, 4, T_Scon, T_Scon_DRRR, 661.4, hit, 2, 0
472, 4, T_Scon, T_Scon_UGLG, 452.9, hit, 1, 0
473, 4, T_Scon, T_Scon_DRRR, 492.3, incorrect, 1, 1
474, 4, T_Scon, T_Scon_UGLG, 583.7, hit, 1, 0
475, 4, T_Scon, T_Scon_UGLG, 523.1, hit, 1, 0
476, 4, T_Scon, T_Scon_UGLG, 518.6, hit, 1, 0
477, 4, T_Scon, T_Scon_DRRR, 426.0, hit, 2, 0
478, 4, T_Scon, T_Scon_DRRR, 481.5, hit, 2, 0
479, 4, T_Scon, T_Scon_DRRR, 460.9, hit, 2, 0
480, 4, T_Scon, T_Scon_UGLG, 428.4, hit, 1, 0
481, 4, T_Scon, T_Scon_DRRR, 451.8, hit, 2, 0
482, 4, T_Sinc, T_Sinc_URRR, 527.2, hit, 2, 0
483, 4, T_Sinc, T_Sinc_URRR, 386.7, hit, 2, 0
484, 4, T_Scon, T_Scon_UGLG, 566.0, hit, 1, 0
485, 4, T_Scon, T_Scon_UGLG, 465.5, hit, 1, 0
486, 4, T_Scon, T_Scon_UGLG, 504.9, hit, 1, 0
487, 4, T_Scon, T_Scon_UGLG, 444.4, hit, 1, 0
488, 4, T_Scon, T_Scon_UGLG, 791.8, hit, 1, 0
489, 4, T_Scon, T_Scon_DRRR, 531.3, hit, 2, 0
490, 4, T_Sinc, T_Sinc_URRR, 530.7, hit, 2, 0
491, 4, T_Sinc, T_Sinc_URRR, 430.2, hit, 2, 0
492, 4, T_Scon, T_Scon_DRRR, 369.6, hit, 2, 0
493, 4, T_Scon, T_Scon_DRRR, 425.1, hit, 2, 0
494, 4, T_Sinc, T_Sinc_DGLG, 368.5, hit, 1, 0
495, 4, T_Sinc, T_Sinc_DGLG, 556.0, hit, 1, 0
496, 4, T_Sinc, T_Sinc_DGLG, 535.4, hit, 1, 0
497, 4, T_Scon, T_Scon_UGLG, 762.7, hit, 1, 0
498, 4, T_Scon, T_Scon_UGLG, 494.2, hit, 1, 0
499, 4, T_Scon, T_Scon_DRRR, 393.7, hit, 2, 0
500, 4, T_Scon, T_Scon_DRRR, 533.1, hit, 2, 0
501, 4, T_Scon, T_Scon_UGLG, 480.5, hit, 1, 0
502, 4, T_Scon, T_Scon_UGLG, 524.0, hit, 1, 0
503, 4, T_Scon, T_Scon_UGLG, 455.4, hit, 1, 0
504, 4, T_Scon, T_Scon_DRRR, 398.9, hit, 2, 0
505, 4, T_Scon, T_Scon_DRRR, 542.0, hit, 2, 0
506, 4, T_Scon, T_Scon_UGLG, 393.4, hit, 1, 0
507, 4, T_Scon, T_Scon_DRRR, 380.9, hit, 2, 0
508, 4, T_Scon, T_Scon_UGLG, 440.3, hit, 1, 0
509, 4, T_Sinc, T_Sinc_URRR, 571.8, hit, 2, 0
510, 4, T_Scon, T_Scon_DRRR, 391.2, hit, 2, 0
511, 4, T_Sinc, T_Sinc_DGLG, 466.7, hit, 1, 0
512, 4, T_Scon, T_Scon_DRRR, 354.1, hit, 2, 0
513, 4, T_Scon, T_Scon_UGLG, 665.6, hit, 1, 0
514, 4, T_Scon, T_Scon_DRRR, 428.9, hit, 2, 0
515, 4, T_Scon, T_Scon_UGLG, 600.4, hit, 1, 0
516, 4, T_Scon, T_Scon_UGLG, 455.8, hit, 1, 0
517, 4, T_Sinc, T_Sinc_DGLG, 519.3, hit, 1, 0
518, 4, T_Sinc, T_Sinc_DGLG, 554.7, hit, 1, 0
519, 4, T_Scon, T_Scon_UGLG, 422.2, hit, 1, 0
520, 4, T_Scon, T_Scon_UGLG, 365.6, hit, 1, 0
