stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13
0,1,1,801.3,0,113,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,838.3,1,114,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1083.3,1,115,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1032.3,0,116,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,671.3,0,117,0,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,606.3,0,118,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1245.3,0,119,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,956.4,0,120,1,20,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,633.2,0,121,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,590.2,0,122,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,923.1,1,123,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1152.1,1,124,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,815.2,1,125,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,852.1,0,126,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1017,1,127,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1432.2,1,128,1,80,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,871.1,1,129,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
