alpha,alpha_CCC,CCC,decay,corr_value,corr,corr_p,AIC,AIC_rl
0.4,0.12,0.65,0.08,-0.250487771,0.250487771,3.36E-15,11467.75613,11469.75613
0.77,0.2,0.33,0.32,-0.250359803,0.250359803,3.47E-15,11467.82177,11469.82177
0.57,0.8,0.07,0.08,-0.250334338,0.250334338,3.49E-15,11467.83483,11469.83483
0.52,0.32,0.07,0.01,-0.250325264,0.250325264,3.50E-15,11467.83948,11469.83948
0.59,0.7,0.2,0.46,-0.250134275,0.250134275,3.68E-15,11467.93737,11469.93737
0.5,0.87,0.19,0.2,-0.249925035,0.249925035,3.88E-15,11468.04452,11470.04452
0.24,0.71,0.44,0.13,-0.249864441,0.249864441,3.95E-15,11468.07553,11470.07553
0.33,0.29,0.13,0.53,-0.249773621,0.249773621,4.04E-15,11468.12199,11470.12199
0.95,0.65,0.92,0.37,-0.24966859,0.24966859,4.15E-15,11468.1757,11470.1757
0.47,0.19,0.36,0.51,-0.249490365,0.249490365,4.35E-15,11468.26677,11470.26677
0.28,0.68,0.29,0.52,-0.249275717,0.249275717,4.60E-15,11468.37637,11470.37637
0.97,0.4,0.46,0.13,-0.249254575,0.249254575,4.62E-15,11468.38716,11470.38716
0.96,0.24,0.37,0.45,-0.249232413,0.249232413,4.65E-15,11468.39846,11470.39846
0.66,0.83,0.33,0.1,-0.249216706,0.249216706,4.67E-15,11468.40648,11470.40648
0.14,0.79,0.85,0.22,-0.24915768,0.24915768,4.74E-15,11468.43659,11470.43659
0.87,0.45,0.23,0.54,-0.249096961,0.249096961,4.81E-15,11468.46755,11470.46755
0.11,0.32,0.27,0.21,-0.24893787,0.24893787,5.01E-15,11468.54864,11470.54864
0.43,0.77,0.84,0.56,-0.248865174,0.248865174,5.11E-15,11468.58568,11470.58568
0.19,0.55,0.72,0.46,-0.248782878,0.248782878,5.22E-15,11468.62759,11470.62759
0.19,0.65,0.98,0.12,-0.248524921,0.248524921,5.58E-15,11468.75886,11470.75886
0.59,0.33,0.69,0.42,-0.248492918,0.248492918,5.62E-15,11468.77513,11470.77513
0.98,0.39,0.67,0.07,-0.248491321,0.248491321,5.63E-15,11468.77595,11470.77595
0.71,0.8,0.9,0.5,-0.248481117,0.248481117,5.64E-15,11468.78113,11470.78113
